CountyState,CountyLatLong,CountyName,State,Lat,Long
"CEDAR County ,IA","CEDAR County ,IA,41.834615,-91.135302",CEDAR County ,IA,41.834615,-91.135302
"CEDAR County ,MO","CEDAR County ,MO,37.703121,-93.86553",CEDAR County ,MO,37.703121,-93.86553
"CEDAR County ,NE","CEDAR County ,NE,42.561032,-97.179026",CEDAR County ,NE,42.561032,-97.179026
"CENTRE County ,PA","CENTRE County ,PA,40.876565,-77.836728",CENTRE County ,PA,40.876565,-77.836728
"CERRO GORDO County ,IA","CERRO GORDO County ,IA,43.154319,-93.202967",CERRO GORDO County ,IA,43.154319,-93.202967
"CHAFFEE County ,CO","CHAFFEE County ,CO,38.753668,-106.252214",CHAFFEE County ,CO,38.753668,-106.252214
"CHAMBERS County ,AL","CHAMBERS County ,AL,32.902805,-85.354965",CHAMBERS County ,AL,32.902805,-85.354965
"CHAMBERS County ,TX","CHAMBERS County ,TX,29.752496,-94.686378",CHAMBERS County ,TX,29.752496,-94.686378
"CHAMPAIGN County ,IL","CHAMPAIGN County ,IL,40.213887,-88.246118",CHAMPAIGN County ,IL,40.213887,-88.246118
"CHAMPAIGN County ,OH","CHAMPAIGN County ,OH,40.102582,-83.804868",CHAMPAIGN County ,OH,40.102582,-83.804868
"CHARITON County ,MO","CHARITON County ,MO,39.530152,-93.017571",CHARITON County ,MO,39.530152,-93.017571
"CHARLES CITY County ,VA","CHARLES CITY County ,VA,37.401822,-77.148516",CHARLES CITY County ,VA,37.401822,-77.148516
"CHARLES County ,MD","CHARLES County ,MD,38.522178,-77.10249",CHARLES County ,MD,38.522178,-77.10249
"CHARLES MIX County ,SD","CHARLES MIX County ,SD,43.098511,-98.396494",CHARLES MIX County ,SD,43.098511,-98.396494
"CHARLESTON County ,SC","CHARLESTON County ,SC,32.795656,-79.784842",CHARLESTON County ,SC,32.795656,-79.784842
"CHARLEVOIX County ,MI","CHARLEVOIX County ,MI,45.244217,-85.061904",CHARLEVOIX County ,MI,45.244217,-85.061904
"CHARLOTTE County ,FL","CHARLOTTE County ,FL,26.894601,-81.909826",CHARLOTTE County ,FL,26.894601,-81.909826
"CHARLOTTE County ,VA","CHARLOTTE County ,VA,37.046741,-78.6115",CHARLOTTE County ,VA,37.046741,-78.6115
"CHARLOTTESVILLE CITY County ,VA","CHARLOTTESVILLE CITY County ,VA,37.431573,-78.656894",CHARLOTTESVILLE CITY County ,VA,37.431573,-78.656894
"CHARLTON County ,GA","CHARLTON County ,GA,30.791736,-82.08429",CHARLTON County ,GA,30.791736,-82.08429
"CHASE County ,KS","CHASE County ,KS,38.300766,-96.578339",CHASE County ,KS,38.300766,-96.578339
"CHASE County ,NE","CHASE County ,NE,40.453132,-101.615777",CHASE County ,NE,40.453132,-101.615777
